round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
New National,outdoor,imperial,recurve,non-compound,,639,1
New National,outdoor,imperial,compound,compound,,639,1
Long National,outdoor,imperial,recurve,non-compound,,647,1
Long National,outdoor,imperial,compound,compound,,647,1
National,outdoor,imperial,recurve,non-compound,,648,1
National,outdoor,imperial,compound,compound,,648,1
National 50,outdoor,imperial,recurve,non-compound,,648,1
National 50,outdoor,imperial,compound,compound,,648,1
National 40,outdoor,imperial,recurve,non-compound,,648,1
National 40,outdoor,imperial,compound,compound,,648,1
National 30,outdoor,imperial,recurve,non-compound,,648,1
National 30,outdoor,imperial,compound,compound,,648,1
New Warwick,outdoor,imperial,recurve,non-compound,,427,1
New Warwick,outdoor,imperial,compound,compound,,427,1
Long Warwick,outdoor,imperial,recurve,non-compound,,432,1
Long Warwick,outdoor,imperial,compound,compound,,432,1
Warwick,outdoor,imperial,recurve,non-compound,,432,1
Warwick,outdoor,imperial,compound,compound,,432,1
Warwick 50,outdoor,imperial,recurve,non-compound,,432,1
Warwick 50,outdoor,imperial,compound,compound,,432,1
Warwick 40,outdoor,imperial,recurve,non-compound,,432,1
Warwick 40,outdoor,imperial,compound,compound,,432,1
York,outdoor,imperial,recurve,non-compound,,1279,2
York,outdoor,imperial,compound,compound,,1279,2
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1294,2
Hereford / Bristol I,outdoor,imperial,compound,compound,,1294,2
Bristol II,outdoor,imperial,recurve,non-compound,,1296,2
Bristol II,outdoor,imperial,compound,compound,,1296,2
Bristol III,outdoor,imperial,recurve,non-compound,,1296,2
Bristol III,outdoor,imperial,compound,compound,,1296,2
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,2
Bristol IV,outdoor,imperial,compound,compound,,1296,2
Bristol V,outdoor,imperial,recurve,non-compound,,1296,2
Bristol V,outdoor,imperial,compound,compound,,1296,2
St George,outdoor,imperial,recurve,non-compound,,963,2
St George,outdoor,imperial,compound,compound,,963,2
Albion,outdoor,imperial,recurve,non-compound,,971,2
Albion,outdoor,imperial,compound,compound,,971,2
Windsor,outdoor,imperial,recurve,non-compound,,972,2
Windsor,outdoor,imperial,compound,compound,,972,2
Windsor 50,outdoor,imperial,recurve,non-compound,,972,2
Windsor 50,outdoor,imperial,compound,compound,,972,2
Windsor 40,outdoor,imperial,recurve,non-compound,,972,2
Windsor 40,outdoor,imperial,compound,compound,,972,2
Windsor 30,outdoor,imperial,recurve,non-compound,,972,2
Windsor 30,outdoor,imperial,compound,compound,,972,2
New Western,outdoor,imperial,recurve,non-compound,,852,2
New Western,outdoor,imperial,compound,compound,,852,2
Long Western,outdoor,imperial,recurve,non-compound,,863,2
Long Western,outdoor,imperial,compound,compound,,863,2
Western,outdoor,imperial,recurve,non-compound,,864,2
Western,outdoor,imperial,compound,compound,,864,2
Western 50,outdoor,imperial,recurve,non-compound,,864,2
Western 50,outdoor,imperial,compound,compound,,864,2
Western 40,outdoor,imperial,recurve,non-compound,,864,2
Western 40,outdoor,imperial,compound,compound,,864,2
Western 30,outdoor,imperial,recurve,non-compound,,864,2
Western 30,outdoor,imperial,compound,compound,,864,2
American,outdoor,imperial,recurve,non-compound,,810,2
American,outdoor,imperial,compound,compound,,810,2
St Nicholas,outdoor,imperial,recurve,non-compound,,756,2
St Nicholas,outdoor,imperial,compound,compound,,756,2
New National,outdoor,imperial,recurve,non-compound,,637,2
New National,outdoor,imperial,compound,compound,,637,2
Long National,outdoor,imperial,recurve,non-compound,,647,2
Long National,outdoor,imperial,compound,compound,,647,2
National,outdoor,imperial,recurve,non-compound,,648,2
National,outdoor,imperial,compound,compound,,648,2
National 50,outdoor,imperial,recurve,non-compound,,648,2
National 50,outdoor,imperial,compound,compound,,648,2
National 40,outdoor,imperial,recurve,non-compound,,648,2
National 40,outdoor,imperial,compound,compound,,648,2
National 30,outdoor,imperial,recurve,non-compound,,648,2
National 30,outdoor,imperial,compound,compound,,648,2
New Warwick,outdoor,imperial,recurve,non-compound,,426,2
New Warwick,outdoor,imperial,compound,compound,,426,2
Long Warwick,outdoor,imperial,recurve,non-compound,,432,2
Long Warwick,outdoor,imperial,compound,compound,,432,2
Warwick,outdoor,imperial,recurve,non-compound,,432,2
Warwick,outdoor,imperial,compound,compound,,432,2
Warwick 50,outdoor,imperial,recurve,non-compound,,432,2
Warwick 50,outdoor,imperial,compound,compound,,432,2
Warwick 40,outdoor,imperial,recurve,non-compound,,432,2
Warwick 40,outdoor,imperial,compound,compound,,432,2
York,outdoor,imperial,recurve,non-compound,,1276,3
York,outdoor,imperial,compound,compound,,1276,3
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,1293,3
Hereford / Bristol I,outdoor,imperial,compound,compound,,1293,3
Bristol II,outdoor,imperial,recurve,non-compound,,1296,3
Bristol II,outdoor,imperial,compound,compound,,1296,3
Bristol III,outdoor,imperial,recurve,non-compound,,1296,3
Bristol III,outdoor,imperial,compound,compound,,1296,3
Bristol IV,outdoor,imperial,recurve,non-compound,,1296,3
Bristol IV,outdoor,imperial,compound,compound,,1296,3
Bristol V,outdoor,imperial,recurve,non-compound,,1296,3
Bristol V,outdoor,imperial,compound,compound,,1296,3
St George,outdoor,imperial,recurve,non-compound,,961,3
St George,outdoor,imperial,compound,compound,,961,3
Albion,outdoor,imperial,recurve,non-compound,,971,3
