round_name,round_type,system,bow_type,bow_group,spot_type,score,handicap
National 50,outdoor,imperial,recurve,non-compound,,306,76
National 50,outdoor,imperial,compound,compound,,306,76
National 40,outdoor,imperial,recurve,non-compound,,394,76
National 40,outdoor,imperial,compound,compound,,394,76
National 30,outdoor,imperial,recurve,non-compound,,489,76
National 30,outdoor,imperial,compound,compound,,489,76
New Warwick,outdoor,imperial,recurve,non-compound,,65,76
New Warwick,outdoor,imperial,compound,compound,,65,76
Long Warwick,outdoor,imperial,recurve,non-compound,,110,76
Long Warwick,outdoor,imperial,compound,compound,,110,76
Warwick,outdoor,imperial,recurve,non-compound,,162,76
Warwick,outdoor,imperial,compound,compound,,162,76
Warwick 50,outdoor,imperial,recurve,non-compound,,213,76
Warwick 50,outdoor,imperial,compound,compound,,213,76
Warwick 40,outdoor,imperial,recurve,non-compound,,273,76
Warwick 40,outdoor,imperial,compound,compound,,273,76
York,outdoor,imperial,recurve,non-compound,,211,77
York,outdoor,imperial,compound,compound,,211,77
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,336,77
Hereford / Bristol I,outdoor,imperial,compound,compound,,336,77
Bristol II,outdoor,imperial,recurve,non-compound,,493,77
Bristol II,outdoor,imperial,compound,compound,,493,77
Bristol III,outdoor,imperial,recurve,non-compound,,649,77
Bristol III,outdoor,imperial,compound,compound,,649,77
Bristol IV,outdoor,imperial,recurve,non-compound,,831,77
Bristol IV,outdoor,imperial,compound,compound,,831,77
Bristol V,outdoor,imperial,recurve,non-compound,,1023,77
Bristol V,outdoor,imperial,compound,compound,,1023,77
St George,outdoor,imperial,recurve,non-compound,,191,77
St George,outdoor,imperial,compound,compound,,191,77
Albion,outdoor,imperial,recurve,non-compound,,290,77
Albion,outdoor,imperial,compound,compound,,290,77
Windsor,outdoor,imperial,recurve,non-compound,,408,77
Windsor,outdoor,imperial,compound,compound,,408,77
Windsor 50,outdoor,imperial,recurve,non-compound,,532,77
Windsor 50,outdoor,imperial,compound,compound,,532,77
Windsor 40,outdoor,imperial,recurve,non-compound,,672,77
Windsor 40,outdoor,imperial,compound,compound,,672,77
Windsor 30,outdoor,imperial,recurve,non-compound,,814,77
Windsor 30,outdoor,imperial,compound,compound,,814,77
New Western,outdoor,imperial,recurve,non-compound,,122,77
New Western,outdoor,imperial,compound,compound,,122,77
Long Western,outdoor,imperial,recurve,non-compound,,209,77
Long Western,outdoor,imperial,compound,compound,,209,77
Western,outdoor,imperial,recurve,non-compound,,310,77
Western,outdoor,imperial,compound,compound,,310,77
Western 50,outdoor,imperial,recurve,non-compound,,411,77
Western 50,outdoor,imperial,compound,compound,,411,77
Western 40,outdoor,imperial,recurve,non-compound,,533,77
Western 40,outdoor,imperial,compound,compound,,533,77
Western 30,outdoor,imperial,recurve,non-compound,,663,77
Western 30,outdoor,imperial,compound,compound,,663,77
American,outdoor,imperial,recurve,non-compound,,340,77
American,outdoor,imperial,compound,compound,,340,77
St Nicholas,outdoor,imperial,recurve,non-compound,,458,77
St Nicholas,outdoor,imperial,compound,compound,,458,77
New National,outdoor,imperial,recurve,non-compound,,84,77
New National,outdoor,imperial,compound,compound,,84,77
Long National,outdoor,imperial,recurve,non-compound,,143,77
Long National,outdoor,imperial,compound,compound,,143,77
National,outdoor,imperial,recurve,non-compound,,222,77
National,outdoor,imperial,compound,compound,,222,77
National 50,outdoor,imperial,recurve,non-compound,,294,77
National 50,outdoor,imperial,compound,compound,,294,77
National 40,outdoor,imperial,recurve,non-compound,,383,77
National 40,outdoor,imperial,compound,compound,,383,77
National 30,outdoor,imperial,recurve,non-compound,,481,77
National 30,outdoor,imperial,compound,compound,,481,77
New Warwick,outdoor,imperial,recurve,non-compound,,61,77
New Warwick,outdoor,imperial,compound,compound,,61,77
Long Warwick,outdoor,imperial,recurve,non-compound,,105,77
Long Warwick,outdoor,imperial,compound,compound,,105,77
Warwick,outdoor,imperial,recurve,non-compound,,155,77
Warwick,outdoor,imperial,compound,compound,,155,77
Warwick 50,outdoor,imperial,recurve,non-compound,,206,77
Warwick 50,outdoor,imperial,compound,compound,,206,77
Warwick 40,outdoor,imperial,recurve,non-compound,,267,77
Warwick 40,outdoor,imperial,compound,compound,,267,77
York,outdoor,imperial,recurve,non-compound,,199,78
York,outdoor,imperial,compound,compound,,199,78
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,319,78
Hereford / Bristol I,outdoor,imperial,compound,compound,,319,78
Bristol II,outdoor,imperial,recurve,non-compound,,472,78
Bristol II,outdoor,imperial,compound,compound,,472,78
Bristol III,outdoor,imperial,recurve,non-compound,,627,78
Bristol III,outdoor,imperial,compound,compound,,627,78
Bristol IV,outdoor,imperial,recurve,non-compound,,812,78
Bristol IV,outdoor,imperial,compound,compound,,812,78
Bristol V,outdoor,imperial,recurve,non-compound,,1009,78
Bristol V,outdoor,imperial,compound,compound,,1009,78
St George,outdoor,imperial,recurve,non-compound,,181,78
St George,outdoor,imperial,compound,compound,,181,78
Albion,outdoor,imperial,recurve,non-compound,,276,78
Albion,outdoor,imperial,compound,compound,,276,78
Windsor,outdoor,imperial,recurve,non-compound,,392,78
Windsor,outdoor,imperial,compound,compound,,392,78
Windsor 50,outdoor,imperial,recurve,non-compound,,516,78
Windsor 50,outdoor,imperial,compound,compound,,516,78
Windsor 40,outdoor,imperial,recurve,non-compound,,659,78
Windsor 40,outdoor,imperial,compound,compound,,659,78
Windsor 30,outdoor,imperial,recurve,non-compound,,805,78
Windsor 30,outdoor,imperial,compound,compound,,805,78
New Western,outdoor,imperial,recurve,non-compound,,115,78
New Western,outdoor,imperial,compound,compound,,115,78
Long Western,outdoor,imperial,recurve,non-compound,,198,78
Long Western,outdoor,imperial,compound,compound,,198,78
Western,outdoor,imperial,recurve,non-compound,,296,78
Western,outdoor,imperial,compound,compound,,296,78
Western 50,outdoor,imperial,recurve,non-compound,,396,78
Western 50,outdoor,imperial,compound,compound,,396,78
Western 40,outdoor,imperial,recurve,non-compound,,519,78
Western 40,outdoor,imperial,compound,compound,,519,78
Western 30,outdoor,imperial,recurve,non-compound,,652,78
Western 30,outdoor,imperial,compound,compound,,652,78
American,outdoor,imperial,recurve,non-compound,,327,78
American,outdoor,imperial,compound,compound,,327,78
St Nicholas,outdoor,imperial,recurve,non-compound,,446,78
St Nicholas,outdoor,imperial,compound,compound,,446,78
New National,outdoor,imperial,recurve,non-compound,,79,78
New National,outdoor,imperial,compound,compound,,79,78
Long National,outdoor,imperial,recurve,non-compound,,135,78
Long National,outdoor,imperial,compound,compound,,135,78
National,outdoor,imperial,recurve,non-compound,,212,78
National,outdoor,imperial,compound,compound,,212,78
National 50,outdoor,imperial,recurve,non-compound,,283,78
National 50,outdoor,imperial,compound,compound,,283,78
National 40,outdoor,imperial,recurve,non-compound,,373,78
National 40,outdoor,imperial,compound,compound,,373,78
National 30,outdoor,imperial,recurve,non-compound,,472,78
National 30,outdoor,imperial,compound,compound,,472,78
New Warwick,outdoor,imperial,recurve,non-compound,,58,78
New Warwick,outdoor,imperial,compound,compound,,58,78
Long Warwick,outdoor,imperial,recurve,non-compound,,99,78
Long Warwick,outdoor,imperial,compound,compound,,99,78
Warwick,outdoor,imperial,recurve,non-compound,,148,78
Warwick,outdoor,imperial,compound,compound,,148,78
Warwick 50,outdoor,imperial,recurve,non-compound,,198,78
Warwick 50,outdoor,imperial,compound,compound,,198,78
Warwick 40,outdoor,imperial,recurve,non-compound,,260,78
Warwick 40,outdoor,imperial,compound,compound,,260,78
York,outdoor,imperial,recurve,non-compound,,188,79
York,outdoor,imperial,compound,compound,,188,79
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,303,79
Hereford / Bristol I,outdoor,imperial,compound,compound,,303,79
Bristol II,outdoor,imperial,recurve,non-compound,,452,79
Bristol II,outdoor,imperial,compound,compound,,452,79
Bristol III,outdoor,imperial,recurve,non-compound,,605,79
Bristol III,outdoor,imperial,compound,compound,,605,79
Bristol IV,outdoor,imperial,recurve,non-compound,,792,79
Bristol IV,outdoor,imperial,compound,compound,,792,79
Bristol V,outdoor,imperial,recurve,non-compound,,994,79
Bristol V,outdoor,imperial,compound,compound,,994,79
St George,outdoor,imperial,recurve,non-compound,,171,79
St George,outdoor,imperial,compound,compound,,171,79
Albion,outdoor,imperial,recurve,non-compound,,263,79
Albion,outdoor,imperial,compound,compound,,263,79
Windsor,outdoor,imperial,recurve,non-compound,,376,79
Windsor,outdoor,imperial,compound,compound,,376,79
Windsor 50,outdoor,imperial,recurve,non-compound,,500,79
Windsor 50,outdoor,imperial,compound,compound,,500,79
Windsor 40,outdoor,imperial,recurve,non-compound,,645,79
Windsor 40,outdoor,imperial,compound,compound,,645,79
Windsor 30,outdoor,imperial,recurve,non-compound,,795,79
Windsor 30,outdoor,imperial,compound,compound,,795,79
New Western,outdoor,imperial,recurve,non-compound,,108,79
New Western,outdoor,imperial,compound,compound,,108,79
Long Western,outdoor,imperial,recurve,non-compound,,188,79
Long Western,outdoor,imperial,compound,compound,,188,79
Western,outdoor,imperial,recurve,non-compound,,283,79
Western,outdoor,imperial,compound,compound,,283,79
Western 50,outdoor,imperial,recurve,non-compound,,381,79
Western 50,outdoor,imperial,compound,compound,,381,79
Western 40,outdoor,imperial,recurve,non-compound,,505,79
Western 40,outdoor,imperial,compound,compound,,505,79
Western 30,outdoor,imperial,recurve,non-compound,,641,79
Western 30,outdoor,imperial,compound,compound,,641,79
American,outdoor,imperial,recurve,non-compound,,313,79
American,outdoor,imperial,compound,compound,,313,79
St Nicholas,outdoor,imperial,recurve,non-compound,,433,79
St Nicholas,outdoor,imperial,compound,compound,,433,79
New National,outdoor,imperial,recurve,non-compound,,74,79
New National,outdoor,imperial,compound,compound,,74,79
Long National,outdoor,imperial,recurve,non-compound,,128,79
Long National,outdoor,imperial,compound,compound,,128,79
National,outdoor,imperial,recurve,non-compound,,202,79
National,outdoor,imperial,compound,compound,,202,79
National 50,outdoor,imperial,recurve,non-compound,,272,79
National 50,outdoor,imperial,compound,compound,,272,79
National 40,outdoor,imperial,recurve,non-compound,,362,79
National 40,outdoor,imperial,compound,compound,,362,79
National 30,outdoor,imperial,recurve,non-compound,,464,79
National 30,outdoor,imperial,compound,compound,,464,79
New Warwick,outdoor,imperial,recurve,non-compound,,54,79
New Warwick,outdoor,imperial,compound,compound,,54,79
Long Warwick,outdoor,imperial,recurve,non-compound,,94,79
Long Warwick,outdoor,imperial,compound,compound,,94,79
Warwick,outdoor,imperial,recurve,non-compound,,142,79
Warwick,outdoor,imperial,compound,compound,,142,79
Warwick 50,outdoor,imperial,recurve,non-compound,,191,79
Warwick 50,outdoor,imperial,compound,compound,,191,79
Warwick 40,outdoor,imperial,recurve,non-compound,,253,79
Warwick 40,outdoor,imperial,compound,compound,,253,79
York,outdoor,imperial,recurve,non-compound,,178,80
York,outdoor,imperial,compound,compound,,178,80
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,287,80
Hereford / Bristol I,outdoor,imperial,compound,compound,,287,80
Bristol II,outdoor,imperial,recurve,non-compound,,432,80
Bristol II,outdoor,imperial,compound,compound,,432,80
Bristol III,outdoor,imperial,recurve,non-compound,,584,80
Bristol III,outdoor,imperial,compound,compound,,584,80
Bristol IV,outdoor,imperial,recurve,non-compound,,771,80
Bristol IV,outdoor,imperial,compound,compound,,771,80
Bristol V,outdoor,imperial,recurve,non-compound,,978,80
Bristol V,outdoor,imperial,compound,compound,,978,80
St George,outdoor,imperial,recurve,non-compound,,162,80
St George,outdoor,imperial,compound,compound,,162,80
Albion,outdoor,imperial,recurve,non-compound,,250,80
Albion,outdoor,imperial,compound,compound,,250,80
Windsor,outdoor,imperial,recurve,non-compound,,360,80
Windsor,outdoor,imperial,compound,compound,,360,80
Windsor 50,outdoor,imperial,recurve,non-compound,,484,80
Windsor 50,outdoor,imperial,compound,compound,,484,80
Windsor 40,outdoor,imperial,recurve,non-compound,,631,80
Windsor 40,outdoor,imperial,compound,compound,,631,80
Windsor 30,outdoor,imperial,recurve,non-compound,,786,80
Windsor 30,outdoor,imperial,compound,compound,,786,80
New Western,outdoor,imperial,recurve,non-compound,,102,80
New Western,outdoor,imperial,compound,compound,,102,80
Long Western,outdoor,imperial,recurve,non-compound,,178,80
Long Western,outdoor,imperial,compound,compound,,178,80
Western,outdoor,imperial,recurve,non-compound,,269,80
Western,outdoor,imperial,compound,compound,,269,80
Western 50,outdoor,imperial,recurve,non-compound,,366,80
Western 50,outdoor,imperial,compound,compound,,366,80
Western 40,outdoor,imperial,recurve,non-compound,,490,80
Western 40,outdoor,imperial,compound,compound,,490,80
Western 30,outdoor,imperial,recurve,non-compound,,630,80
Western 30,outdoor,imperial,compound,compound,,630,80
American,outdoor,imperial,recurve,non-compound,,300,80
American,outdoor,imperial,compound,compound,,300,80
St Nicholas,outdoor,imperial,recurve,non-compound,,421,80
St Nicholas,outdoor,imperial,compound,compound,,421,80
New National,outdoor,imperial,recurve,non-compound,,70,80
New National,outdoor,imperial,compound,compound,,70,80
Long National,outdoor,imperial,recurve,non-compound,,121,80
Long National,outdoor,imperial,compound,compound,,121,80
National,outdoor,imperial,recurve,non-compound,,192,80
National,outdoor,imperial,compound,compound,,192,80
National 50,outdoor,imperial,recurve,non-compound,,261,80
National 50,outdoor,imperial,compound,compound,,261,80
National 40,outdoor,imperial,recurve,non-compound,,351,80
National 40,outdoor,imperial,compound,compound,,351,80
National 30,outdoor,imperial,recurve,non-compound,,455,80
National 30,outdoor,imperial,compound,compound,,455,80
New Warwick,outdoor,imperial,recurve,non-compound,,51,80
New Warwick,outdoor,imperial,compound,compound,,51,80
Long Warwick,outdoor,imperial,recurve,non-compound,,89,80
Long Warwick,outdoor,imperial,compound,compound,,89,80
Warwick,outdoor,imperial,recurve,non-compound,,135,80
Warwick,outdoor,imperial,compound,compound,,135,80
Warwick 50,outdoor,imperial,recurve,non-compound,,183,80
Warwick 50,outdoor,imperial,compound,compound,,183,80
Warwick 40,outdoor,imperial,recurve,non-compound,,245,80
Warwick 40,outdoor,imperial,compound,compound,,245,80
York,outdoor,imperial,recurve,non-compound,,167,81
York,outdoor,imperial,compound,compound,,167,81
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,272,81
Hereford / Bristol I,outdoor,imperial,compound,compound,,272,81
Bristol II,outdoor,imperial,recurve,non-compound,,412,81
Bristol II,outdoor,imperial,compound,compound,,412,81
Bristol III,outdoor,imperial,recurve,non-compound,,562,81
Bristol III,outdoor,imperial,compound,compound,,562,81
Bristol IV,outdoor,imperial,recurve,non-compound,,751,81
Bristol IV,outdoor,imperial,compound,compound,,751,81
Bristol V,outdoor,imperial,recurve,non-compound,,963,81
Bristol V,outdoor,imperial,compound,compound,,963,81
St George,outdoor,imperial,recurve,non-compound,,153,81
St George,outdoor,imperial,compound,compound,,153,81
Albion,outdoor,imperial,recurve,non-compound,,237,81
Albion,outdoor,imperial,compound,compound,,237,81
Windsor,outdoor,imperial,recurve,non-compound,,345,81
Windsor,outdoor,imperial,compound,compound,,345,81
Windsor 50,outdoor,imperial,recurve,non-compound,,468,81
Windsor 50,outdoor,imperial,compound,compound,,468,81
Windsor 40,outdoor,imperial,recurve,non-compound,,617,81
Windsor 40,outdoor,imperial,compound,compound,,617,81
Windsor 30,outdoor,imperial,recurve,non-compound,,776,81
Windsor 30,outdoor,imperial,compound,compound,,776,81
New Western,outdoor,imperial,recurve,non-compound,,96,81
New Western,outdoor,imperial,compound,compound,,96,81
Long Western,outdoor,imperial,recurve,non-compound,,168,81
Long Western,outdoor,imperial,compound,compound,,168,81
Western,outdoor,imperial,recurve,non-compound,,257,81
Western,outdoor,imperial,compound,compound,,257,81
Western 50,outdoor,imperial,recurve,non-compound,,352,81
Western 50,outdoor,imperial,compound,compound,,352,81
Western 40,outdoor,imperial,recurve,non-compound,,476,81
Western 40,outdoor,imperial,compound,compound,,476,81
Western 30,outdoor,imperial,recurve,non-compound,,619,81
Western 30,outdoor,imperial,compound,compound,,619,81
American,outdoor,imperial,recurve,non-compound,,288,81
American,outdoor,imperial,compound,compound,,288,81
St Nicholas,outdoor,imperial,recurve,non-compound,,408,81
St Nicholas,outdoor,imperial,compound,compound,,408,81
New National,outdoor,imperial,recurve,non-compound,,66,81
New National,outdoor,imperial,compound,compound,,66,81
Long National,outdoor,imperial,recurve,non-compound,,114,81
Long National,outdoor,imperial,compound,compound,,114,81
National,outdoor,imperial,recurve,non-compound,,183,81
National,outdoor,imperial,compound,compound,,183,81
National 50,outdoor,imperial,recurve,non-compound,,250,81
National 50,outdoor,imperial,compound,compound,,250,81
National 40,outdoor,imperial,recurve,non-compound,,340,81
National 40,outdoor,imperial,compound,compound,,340,81
National 30,outdoor,imperial,recurve,non-compound,,446,81
National 30,outdoor,imperial,compound,compound,,446,81
New Warwick,outdoor,imperial,recurve,non-compound,,48,81
New Warwick,outdoor,imperial,compound,compound,,48,81
Long Warwick,outdoor,imperial,recurve,non-compound,,84,81
Long Warwick,outdoor,imperial,compound,compound,,84,81
Warwick,outdoor,imperial,recurve,non-compound,,129,81
Warwick,outdoor,imperial,compound,compound,,129,81
Warwick 50,outdoor,imperial,recurve,non-compound,,176,81
Warwick 50,outdoor,imperial,compound,compound,,176,81
Warwick 40,outdoor,imperial,recurve,non-compound,,238,81
Warwick 40,outdoor,imperial,compound,compound,,238,81
York,outdoor,imperial,recurve,non-compound,,158,82
York,outdoor,imperial,compound,compound,,158,82
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,258,82
Hereford / Bristol I,outdoor,imperial,compound,compound,,258,82
Bristol II,outdoor,imperial,recurve,non-compound,,393,82
Bristol II,outdoor,imperial,compound,compound,,393,82
Bristol III,outdoor,imperial,recurve,non-compound,,540,82
Bristol III,outdoor,imperial,compound,compound,,540,82
Bristol IV,outdoor,imperial,recurve,non-compound,,730,82
Bristol IV,outdoor,imperial,compound,compound,,730,82
Bristol V,outdoor,imperial,recurve,non-compound,,946,82
Bristol V,outdoor,imperial,compound,compound,,946,82
St George,outdoor,imperial,recurve,non-compound,,144,82
St George,outdoor,imperial,compound,compound,,144,82
Albion,outdoor,imperial,recurve,non-compound,,225,82
Albion,outdoor,imperial,compound,compound,,225,82
Windsor,outdoor,imperial,recurve,non-compound,,330,82
Windsor,outdoor,imperial,compound,compound,,330,82
Windsor 50,outdoor,imperial,recurve,non-compound,,452,82
Windsor 50,outdoor,imperial,compound,compound,,452,82
Windsor 40,outdoor,imperial,recurve,non-compound,,602,82
Windsor 40,outdoor,imperial,compound,compound,,602,82
Windsor 30,outdoor,imperial,recurve,non-compound,,765,82
Windsor 30,outdoor,imperial,compound,compound,,765,82
New Western,outdoor,imperial,recurve,non-compound,,90,82
New Western,outdoor,imperial,compound,compound,,90,82
Long Western,outdoor,imperial,recurve,non-compound,,159,82
Long Western,outdoor,imperial,compound,compound,,159,82
Western,outdoor,imperial,recurve,non-compound,,244,82
Western,outdoor,imperial,compound,compound,,244,82
Western 50,outdoor,imperial,recurve,non-compound,,337,82
Western 50,outdoor,imperial,compound,compound,,337,82
Western 40,outdoor,imperial,recurve,non-compound,,461,82
Western 40,outdoor,imperial,compound,compound,,461,82
Western 30,outdoor,imperial,recurve,non-compound,,607,82
Western 30,outdoor,imperial,compound,compound,,607,82
American,outdoor,imperial,recurve,non-compound,,275,82
American,outdoor,imperial,compound,compound,,275,82
St Nicholas,outdoor,imperial,recurve,non-compound,,395,82
St Nicholas,outdoor,imperial,compound,compound,,395,82
New National,outdoor,imperial,recurve,non-compound,,62,82
New National,outdoor,imperial,compound,compound,,62,82
Long National,outdoor,imperial,recurve,non-compound,,108,82
Long National,outdoor,imperial,compound,compound,,108,82
National,outdoor,imperial,recurve,non-compound,,173,82
National,outdoor,imperial,compound,compound,,173,82
National 50,outdoor,imperial,recurve,non-compound,,239,82
National 50,outdoor,imperial,compound,compound,,239,82
National 40,outdoor,imperial,recurve,non-compound,,329,82
National 40,outdoor,imperial,compound,compound,,329,82
National 30,outdoor,imperial,recurve,non-compound,,437,82
National 30,outdoor,imperial,compound,compound,,437,82
New Warwick,outdoor,imperial,recurve,non-compound,,45,82
New Warwick,outdoor,imperial,compound,compound,,45,82
Long Warwick,outdoor,imperial,recurve,non-compound,,80,82
Long Warwick,outdoor,imperial,compound,compound,,80,82
Warwick,outdoor,imperial,recurve,non-compound,,122,82
Warwick,outdoor,imperial,compound,compound,,122,82
Warwick 50,outdoor,imperial,recurve,non-compound,,169,82
Warwick 50,outdoor,imperial,compound,compound,,169,82
Warwick 40,outdoor,imperial,recurve,non-compound,,231,82
Warwick 40,outdoor,imperial,compound,compound,,231,82
York,outdoor,imperial,recurve,non-compound,,149,83
York,outdoor,imperial,compound,compound,,149,83
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,244,83
Hereford / Bristol I,outdoor,imperial,compound,compound,,244,83
Bristol II,outdoor,imperial,recurve,non-compound,,374,83
Bristol II,outdoor,imperial,compound,compound,,374,83
Bristol III,outdoor,imperial,recurve,non-compound,,519,83
Bristol III,outdoor,imperial,compound,compound,,519,83
Bristol IV,outdoor,imperial,recurve,non-compound,,709,83
Bristol IV,outdoor,imperial,compound,compound,,709,83
Bristol V,outdoor,imperial,recurve,non-compound,,930,83
Bristol V,outdoor,imperial,compound,compound,,930,83
St George,outdoor,imperial,recurve,non-compound,,136,83
St George,outdoor,imperial,compound,compound,,136,83
Albion,outdoor,imperial,recurve,non-compound,,214,83
Albion,outdoor,imperial,compound,compound,,214,83
Windsor,outdoor,imperial,recurve,non-compound,,315,83
Windsor,outdoor,imperial,compound,compound,,315,83
Windsor 50,outdoor,imperial,recurve,non-compound,,436,83
Windsor 50,outdoor,imperial,compound,compound,,436,83
Windsor 40,outdoor,imperial,recurve,non-compound,,587,83
Windsor 40,outdoor,imperial,compound,compound,,587,83
Windsor 30,outdoor,imperial,recurve,non-compound,,755,83
Windsor 30,outdoor,imperial,compound,compound,,755,83
New Western,outdoor,imperial,recurve,non-compound,,85,83
New Western,outdoor,imperial,compound,compound,,85,83
Long Western,outdoor,imperial,recurve,non-compound,,150,83
Long Western,outdoor,imperial,compound,compound,,150,83
Western,outdoor,imperial,recurve,non-compound,,232,83
Western,outdoor,imperial,compound,compound,,232,83
Western 50,outdoor,imperial,recurve,non-compound,,323,83
Western 50,outdoor,imperial,compound,compound,,323,83
Western 40,outdoor,imperial,recurve,non-compound,,447,83
Western 40,outdoor,imperial,compound,compound,,447,83
Western 30,outdoor,imperial,recurve,non-compound,,595,83
Western 30,outdoor,imperial,compound,compound,,595,83
American,outdoor,imperial,recurve,non-compound,,263,83
American,outdoor,imperial,compound,compound,,263,83
St Nicholas,outdoor,imperial,recurve,non-compound,,382,83
St Nicholas,outdoor,imperial,compound,compound,,382,83
New National,outdoor,imperial,recurve,non-compound,,58,83
New National,outdoor,imperial,compound,compound,,58,83
Long National,outdoor,imperial,recurve,non-compound,,102,83
Long National,outdoor,imperial,compound,compound,,102,83
National,outdoor,imperial,recurve,non-compound,,165,83
National,outdoor,imperial,compound,compound,,165,83
National 50,outdoor,imperial,recurve,non-compound,,229,83
National 50,outdoor,imperial,compound,compound,,229,83
National 40,outdoor,imperial,recurve,non-compound,,318,83
National 40,outdoor,imperial,compound,compound,,318,83
National 30,outdoor,imperial,recurve,non-compound,,427,83
National 30,outdoor,imperial,compound,compound,,427,83
New Warwick,outdoor,imperial,recurve,non-compound,,43,83
New Warwick,outdoor,imperial,compound,compound,,43,83
Long Warwick,outdoor,imperial,recurve,non-compound,,75,83
Long Warwick,outdoor,imperial,compound,compound,,75,83
Warwick,outdoor,imperial,recurve,non-compound,,116,83
Warwick,outdoor,imperial,compound,compound,,116,83
Warwick 50,outdoor,imperial,recurve,non-compound,,162,83
Warwick 50,outdoor,imperial,compound,compound,,162,83
Warwick 40,outdoor,imperial,recurve,non-compound,,224,83
Warwick 40,outdoor,imperial,compound,compound,,224,83
York,outdoor,imperial,recurve,non-compound,,140,84
York,outdoor,imperial,compound,compound,,140,84
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,231,84
Hereford / Bristol I,outdoor,imperial,compound,compound,,231,84
Bristol II,outdoor,imperial,recurve,non-compound,,356,84
Bristol II,outdoor,imperial,compound,compound,,356,84
Bristol III,outdoor,imperial,recurve,non-compound,,498,84
Bristol III,outdoor,imperial,compound,compound,,498,84
Bristol IV,outdoor,imperial,recurve,non-compound,,688,84
Bristol IV,outdoor,imperial,compound,compound,,688,84
Bristol V,outdoor,imperial,recurve,non-compound,,913,84
Bristol V,outdoor,imperial,compound,compound,,913,84
St George,outdoor,imperial,recurve,non-compound,,128,84
St George,outdoor,imperial,compound,compound,,128,84
Albion,outdoor,imperial,recurve,non-compound,,203,84
Albion,outdoor,imperial,compound,compound,,203,84
Windsor,outdoor,imperial,recurve,non-compound,,301,84
Windsor,outdoor,imperial,compound,compound,,301,84
Windsor 50,outdoor,imperial,recurve,non-compound,,420,84
Windsor 50,outdoor,imperial,compound,compound,,420,84
Windsor 40,outdoor,imperial,recurve,non-compound,,573,84
Windsor 40,outdoor,imperial,compound,compound,,573,84
Windsor 30,outdoor,imperial,recurve,non-compound,,744,84
Windsor 30,outdoor,imperial,compound,compound,,744,84
New Western,outdoor,imperial,recurve,non-compound,,79,84
New Western,outdoor,imperial,compound,compound,,79,84
Long Western,outdoor,imperial,recurve,non-compound,,142,84
Long Western,outdoor,imperial,compound,compound,,142,84
Western,outdoor,imperial,recurve,non-compound,,220,84
Western,outdoor,imperial,compound,compound,,220,84
Western 50,outdoor,imperial,recurve,non-compound,,309,84
Western 50,outdoor,imperial,compound,compound,,309,84
Western 40,outdoor,imperial,recurve,non-compound,,432,84
Western 40,outdoor,imperial,compound,compound,,432,84
Western 30,outdoor,imperial,recurve,non-compound,,583,84
Western 30,outdoor,imperial,compound,compound,,583,84
American,outdoor,imperial,recurve,non-compound,,251,84
American,outdoor,imperial,compound,compound,,251,84
St Nicholas,outdoor,imperial,recurve,non-compound,,369,84
St Nicholas,outdoor,imperial,compound,compound,,369,84
New National,outdoor,imperial,recurve,non-compound,,55,84
New National,outdoor,imperial,compound,compound,,55,84
Long National,outdoor,imperial,recurve,non-compound,,96,84
Long National,outdoor,imperial,compound,compound,,96,84
National,outdoor,imperial,recurve,non-compound,,156,84
National,outdoor,imperial,compound,compound,,156,84
National 50,outdoor,imperial,recurve,non-compound,,219,84
National 50,outdoor,imperial,compound,compound,,219,84
National 40,outdoor,imperial,recurve,non-compound,,306,84
National 40,outdoor,imperial,compound,compound,,306,84
National 30,outdoor,imperial,recurve,non-compound,,417,84
National 30,outdoor,imperial,compound,compound,,417,84
New Warwick,outdoor,imperial,recurve,non-compound,,40,84
New Warwick,outdoor,imperial,compound,compound,,40,84
Long Warwick,outdoor,imperial,recurve,non-compound,,71,84
Long Warwick,outdoor,imperial,compound,compound,,71,84
Warwick,outdoor,imperial,recurve,non-compound,,110,84
Warwick,outdoor,imperial,compound,compound,,110,84
Warwick 50,outdoor,imperial,recurve,non-compound,,155,84
Warwick 50,outdoor,imperial,compound,compound,,155,84
Warwick 40,outdoor,imperial,recurve,non-compound,,216,84
Warwick 40,outdoor,imperial,compound,compound,,216,84
York,outdoor,imperial,recurve,non-compound,,132,85
York,outdoor,imperial,compound,compound,,132,85
Hereford / Bristol I,outdoor,imperial,recurve,non-compound,,218,85
Hereford / Bristol I,outdoor,imperial,compound,compound,,218,85
Bristol II,outdoor,imperial,recurve,non-compound,,339,85
Bristol II,outdoor,imperial,compound,compound,,339,85
Bristol III,outdoor,imperial,recurve,non-compound,,478,85
Bristol III,outdoor,imperial,compound,compound,,478,85
Bristol IV,outdoor,imperial,recurve,non-compound,,667,85
Bristol IV,outdoor,imperial,compound,compound,,667,85
Bristol V,outdoor,imperial,recurve,non-compound,,895,85
